Section,ort_id,place_headword,xml_full_name,norm_key
F,10300670,Flandem,Flandem <ka/>Flandria Traiect. dioc.<kz/>,flandem
F,10300695,Frauenchiernsee,Frauenchiernsee <ka/>Nunnenberd Salzb. dioc.<kz/>,frauenchiernsee
F,10300684,le Fousseret,le Fousseret <ka/>Fosseretum Riuen. dioc.<kz/>,le fousseret
G,10300856,,<ka/>Gross-<kz/> Enzersdorf <ka/>Maior Enczesdorff Patav. dioc.<kz/>,
H,10300905,HaUcz,HaUcz <ka/>Halicien.<kz/>,haucz
H,10300950,s'Heerhendrikskinderen,s'Heerhendrikskinderen <ka/>Therheynrixkinder Traiect. dioc.<kz/>,sheerhendrikskinderen
I,10301051,Jagdberg,Jagdberg <ka/>Jagberg Curien. dioc.<kz/>,jagdberg
I,10301052,Jauer,Jauer <ka/>Jawraw Wratisl. dioc.<kz/>,jauer
I,10301055,Jechaburg,Jechaburg <ka/>Jecheburg Magunt. dioc.<kz/>,jechaburg
I,10301057,Jeinsen,"Jeinsen <ka/>Gensen, Geynsen Minden. dioc.<kz/>",jeinsen
I,10301058,Jena,"Jena <ka/>Jhene, Maior Jene Magunt. dioc.<kz/>",jena
I,10301060,Jesendorf,Jesendorf <ka/>Jesendorp Zwerin. dioc.<kz/>,jesendorf
I,10301085,Jork,Jork <ka/>Jorke Verden. dioc.<kz/>,jork
I,10301086,Jouy sur Morin,Jouy sur Morin <ka/>Gaudiacum Meten. dioc.<kz/>,jouy sur morin
I,10301103,Judenburg,Judenburg <ka/>Salzb. dioc.<kz/>,judenburg
I,10301104,Juditten,Juditten <ka/>Judenkirche Sambien. dioc.<kz/>,juditten
I,10301106,Jülich,Jülich <ka/>Juliacen.<kz/>,juelich
I,10301107,Jüterbock,Jüterbock <ka/>Juterbook Brandeb. dioc.<kz/>,jueterbock
I,10301105,Jugenheim,Jugenheim <ka/>Gugenheym Magunt. dioc.<kz/>,jugenheim
K,10301156,Klein-Fischhngen,Klein-Fischhngen <ka/>Minorfreschelingen Spiren. dioc.<kz/>,klein-fischhngen
K,10301195,Kuhnbach,Kuhnbach <ka/>Culm[u]ach Bamberg. dioc.<kz/>,kuhnbach
L,10301294,Iobeda,Iobeda <ka/>Lobda Nuemb. dioc.<kz/>,iobeda
M,10301391,Pr. Mark,Pr. Mark <ka/>Marka Gnezn. dioc.<kz/>,pr mark
N,10301564,Nicopohs,Nicopohs,nicopohs
N,10301566,"Niderratenaw, Nidderraitenow v.Unter-Reitnau","Niderratenaw, Nidderraitenow v.Unter-Reitnau.",niderratenaw nidderraitenow vunter-reitnau
S,10302136,,<ka/>Unter-<kz/> Steinach <ka/>Inferiorsteinach Bamberg. dioc.<kz/>,
S,10302157,"Sulzberg, V a l di Sole","Sulzberg, V a l di Sole <ka/>Valsunna, Vallissolis Trident. dioc.<kz/>",sulzberg v a l di sole
T,10302196,Tegemheim,"Tegemheim <ka/>Teghneim, Tengernheim Ratisp. dioc.<kz/>",tegemheim
T,10302238,Tongem,Tongem <ka/>Tongren. Leod. dioc.<kz/>,tongem
V,10302355,Vihch,"Vihch <ka/>Vilica, Vilika Colon. dioc.<kz/>",vihch
V,10302361,Vilhngen,Vilhngen <ka/>Vihngen Const. dioc.<kz/>,vilhngen
W,10302442,Wamow,Wamow <ka/>Warne Zwerin. dioc.<kz/>,wamow
Z,10302601,,"<ka/>Kl.<kz/> Zacken <ka/>Czaken, Wenigc Cz. Wratisl. dioc.<kz/>",
