ort_id,Place,Name Variant,Diocese,Institution,Office,Column_num,Reference
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Adalberti,prepos.,239,
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Adalberti,can.,239,
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,,54,
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,prepos.,"107, 161, 179, 256",
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,decan.,"6, 137",
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,cantor.,325,
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,archipresbyt.,183,
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,dign.,"166, 313",
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,can.,"7, 57, 137, 157, 161, 166, 194, 204, 258, 303, 325, 354, 355",
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,capit.,"107, 161, 179, 256",
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,vic.,"159, 326",
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,capel.,159,
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,par. eccl. s. Flori,,217,
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,par. eccl. b. Marie,,239,
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,capel. s. Salvatoris,,325,
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,dom. ord. Carmelit.,,133,
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,dom. s. Egidii ord. b. Marie Theuton.,,325,
10300001,Aachen,"Aquisgran., Aquen.",Leod. dioc.,,opid.,"54, 217",
10300002,Aalen,Aulon,August. dioc.,par. eccl.,,5,
10300003,Aargau,Ergoye,Const. dioc.,,archidiacon.,94,
10300004,Abcoude,,Traiect. dioc.,,dominus loci,368,
10300005,Abstetten,Absteten,Patav. dioc.,par. eccl.,,"76, 358",
10300006,Acco,Acconen.,,,ep.,"94, 168",
10300008,Adensen,"Adenoys, Andenois",Minden. dioc.,par. eccl.,,"361, 376",
10300011,Admont,,Salzb. dioc.,mon. o. s. B.,,353,
