Place,Name Variant,Diocese,Institution,Office,Column_num,Reference
Aczmanstorff,,,,,,Azmannsdorf
Adewoert,,,,,,Adwert
Adlefsen,,,,,,Azum
Aemps,,,,,,Ems
Agauen.,,,,,,St. Moritz
Alamannia,,,,,,Deutschland
Alba,,,,,,Herrenalb
Almaria,,,,,,Alkmaar
Aldenburg,,,,,,Altenburg
Aldensalen,Aldenzalen,,,,,Oldenzaal
Alsleben,,,,,,Groß-alsleben
Altaich,Altach,,,,,Ober- resp. Nieder-altaich
Altenromhilt,,,,,,Römhild
Anania,,,,,,Nonsberg
Anasum,,,,,,Enns
Andegauien.,,,,,,Angers
Andelac.,,,,,,Andlau
Andenoys,,,,,,Adensen
Andgardaw,,,,,,Stams
Angarien.,,,,,,Enger
Anglia,,,,,,England
Antiqua Vlissinghen,,,,,,Vlissinghen
Aquen.,,,,,,"Aachen, Aix"
Aquisgran.,,,,,,Aachen
Aresdorf,,,,,,Arsdorf
Argentin.,,,,,,Strassburg
Arimin.,,,,,,Rimini
Arnoldshof,,,,,,Rottweil
Asselburg,,,,,,Hasselburg
Assinden.,,,,,,Essen
Athesis,,,,,,Etsch
Attersdorf,,,,,,Ottersdorf
Au,,,,,,St. Maria in Au
Augea,,,,,,Aub
Augia,,,,,,Breisach
Augia maior,,,,,,Reichenau
Augusten.,,,,,,"Aosta, Augsburg"
Aulon,,,,,,Aalen
Austria,,,,,,Österreich
Auwe,,,,,,Aub
Aueld,,,,,,Alfeld
Aw,,,,,,Au
Awgia,,,,,,Gries
Awrbach,,,,,,Auerbach
Aych,,,,,,Aich
Aycurien.,,,,,,Incourt
Baiocen.,,,,,,Bayeux
Barcholte,,,,,,Borgholz
Beben.,,,,,,Hilvarenbeek
Becerie,,,,,,Bessières
Behringen,,,,,,Gross-behringen
Beken,,,,,,Beckum
"Belheem, Belheim",,,,,,Beelhem
Belle,,,,,,Buschbell
Belrebeke,,,,,,Billerbeck
Beluacen.,,,,,,Beauvais
Benhusen,,,,,,Beenhausen
Bergungin,,,,,,Birkungen
Berchlande,,,,,,Ferchland
"Bergem, Bergen, Berghen",,,,,,Waldberghem
Berghe superior,,,,,,Oberberge
Bersabea,,,,,,Bir Seba
Besekow,,,,,,Beeskow
Bethlehem,,,,,,Beelhem
Beydbur,,,,,,Bedburg
Beydburreyfercheyt,,,,,,Bedburg
Bintbuch,,,,,,Vimbuch
Birtirkilch,,,,,,Mengen
Bisuntin.,,,,,,Besançon
Biterren.,,,,,,Béziers
Blidersdorff,,,,,,Plittersdorf
Blisien.,,,,,,Münsterbilsen
Blittersdorf,,,,,,Plittersdorf
Bochout,,,,,,Bouchout
Bodicz,,,,,,Poditz
Boffisheim,,,,,,Boofzheim
"Bolsanum, Bolza",,,,,,Bozen
Bononien.,,,,,,Bologna
Bonsidel,,,,,,Wunsiedel
Borgestad,,,,,,Bürgstadt
Bortschetum,,,,,,Burtscheid
Bos,,,,,,Boos
Boydnghen,,,,,,Bodingen
Brambach,,,,,,Brombach
Brankenheim,,,,,,Blankenheim
Bredenes,,,,,,Bröns
Bregen,,,,,,Brieg
Bregenzer Wald,,,,,,Schwarzenberg
Bretzen,,,,,,Treuenbrietzen
Breusch,,,,,,Strassburg
Brisac.,,,,,,Breisach
Briseke,,,,,,Breisig
Brisgaudia,,,,,,Breisgau
Brixien,,,,,,Brescia
Broke,,,,,,zum Bruche
Bruberg,,,,,,Brenberg
Brunbach,,,,,,Brunnbach
Brunenwiler,,,,,,Braunenweiler
Brunswicen.,,,,,,Braunschweig
Brusca,,,,,,Strassburg
Buczowen.,,,,,,Bützow
Budeken,,,,,,Böddeken
Budissin,,,,,,Bautzen
Bunnen.,,,,,,Bonn
Buochow,,,,,,Buchau
Burgund,Burgundia,,,,,"Bauaria, dux, ducissa"
Buscoducis,,,,,,Herzogenbusch
Cabilonen.,,,,,,Châlons s. S
Caldarium,,,,,,Kaltern
Caluusmons,,,,,,Kahlberg
Cambia,,,,,,Cham
Campen.,,,,,,Kampen
Campidona,,,,,,Kempten
Campinia,,,,,,Kempen
Capella,,,,,,Kappel
Cappirnick,,,,,,Köppernig
Caputferrarum,,,,,,Thierhaupten
Carelburg,,,,,,Karlb urg
Carelstad,,,,,,Karlstadt
Carnoten.,,,,,,Chartres
Casiacum,,,,,,Chézy-sur-marne
Cathalaun.,,,,,,Châlons s. M
Cellabernhardi,,,,,,Bernhardszell
Celle,,,,,,Zell
Cempniczen.,,,,,,Chemnitz
Cernay,,,,,,Vaux-de-cernay
Cerpen.,,,,,,Kerpen
Cesarea,,,,,,Kaisheim
Chiems,,,,,,Kiens
Chochem,,,,,,Kochem
Chocz,,,,,,Kötsch
Chodwicum,,,,,,Göttweih
Chrems,,,,,,Krems
Chremsmunster,,,,,,Kremsmiünster
Chrut,,,,,,Krut
Chulich,,,,,,Kilb
Cicz,,,,,,Seitsch
Ciczen.,,,,,,Zeitz
Clarauallis,,,,,,Georgenthal
Clarendal,,,,,,Klarenthal
Clingenberg,,,,,,Klingenberg
