Place,Name Variant,Diocese,Institution,Office,Column_num,Reference
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Adalberti,prepos.,239,
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Adalberti,can.,239,
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,,54,
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,prepos.,"107, 161, 179, 256",
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,decan.,"6, 137",
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,cantor.,325,
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,archipresbyt.,183,
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,dign.,"166, 313",
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,can.,"7, 57, 137, 157, 161, 166, 194, 204, 258, 303, 325, 354, 355",
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,capit.,"107, 161, 179, 256",
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,vic.,"159, 326",
Aachen,"Aquisgran., Aquen.",Leod. dioc.,eccl. s. Marie,capel.,159,
Aachen,"Aquisgran., Aquen.",Leod. dioc.,par. eccl. s. Flori,,217,
Aachen,"Aquisgran., Aquen.",Leod. dioc.,par. eccl. b. Marie,,239,
Aachen,"Aquisgran., Aquen.",Leod. dioc.,capel. s. Salvatoris,,325,
Aachen,"Aquisgran., Aquen.",Leod. dioc.,dom. ord. Carmelit.,,133,
Aachen,"Aquisgran., Aquen.",Leod. dioc.,dom. s. Egidii ord. b. Marie Theuton.,,325,
Aachen,"Aquisgran., Aquen.",Leod. dioc.,,opid.,"54, 217",
Aalen,Aulon,August. dioc.,par. eccl.,,5,
Aargau,Ergoye,Const. dioc.,,archidiacon.,94,
Abcoude,,Traiect. dioc.,,dominus loci,368,
Abstetten,Absteten,Patav. dioc.,par. eccl.,,"76, 358",
Acco,Acconen.,,,ep.,"94, 168",
Aczmanstorff,,,,,,Azmannsdorf
Adensen,"Adenoys, Andenois",Minden. dioc.,par. eccl.,,"361, 376",
Adewoert,,,,,,Adwert
Adlefsen,,,,,,Azum
Admont,,Salzb. dioc.,mon. o. s. B.,,353,
Admont,,Salzb. dioc.,mon. o. s. B.,abb.,353,
Adorf,,Nuemb. dioc.,,castrum,13,
Adriach,,Salzb. dioc.,par. eccl.,,"339, 340",
Adwert,"Adewert, Adewoert",Monast. dioc.,mon. Cist. ord.,monach,"148, 160",
Aemps,,,,,,Ems
Affenhausen,Affhausen,Patav. dioc.,par. eccl.,,353,
Agauen.,,,,,,St. Moritz
Agde,Agaten.,,eccl.,prepos.,300,
St. Ägyden bei Steinbrück,Raczach,Aquil. dioc.,par. eccl.,,313,
Ägina,Egninen.,,,ep.,363,
Agneyum,,? Meten. dioc.,,priorat. o. s. B.,312,
Agram,Zagabien.,,,ep.,284,
Agram,Zagabien.,,eccl.,can.,284,
Agram,Zagabien.,,,dioc.,247,
Aholming,Ohalming,Patav. dioc.,par. eccl.,,385,
Aich,Aych,Aquil. dioc.,par. eccl.,,243,
Aiterhofen,,Ratisp. dioc.,par. eccl.,,284,
Aix,Aquen.,,,dioc.,208,
Alamannia,,,,,,Deutschland
Alba,,,,,,Herrenalb
Albano,Albanen.,,,ep.,201,
Albeins,,Brixin. dioc.,par. eccl.,,119,
Albicastren,,,,ep.,370,
Albrechtsberg,Albrechtzperg,Patav. dioc.,par. eccl. s. Laurentii,,359,
Almaria,,,,,,Alkmaar
Aldenburg,,,,,,Altenburg
Aldensalen. (Aldenzalen),,,,,,Oldenzaal
Alet,Electen.,,,ep.,"162, 357",
Alexandrien,Alexandria,,,op.,305,
Alfeld,Auelden.,Hildesem. dioc.,capel. s. Spiritus,,265,
Algesheim,"Algisheim, Algensheim",Magunt. dioc.,par. eccl.,,274,
Algesheim,"Algisheim, Algensheim",Magunt. dioc.,,campanaria,117,
Alkmaar,Alcmaria,Traiect. dioc.,eccl. secul.,abbat.,264,
Alkmaar,Alcmaria,Traiect. dioc.,par. eccl.,,"136, 137",
Allerheiligen,Omniusanctorum,Wratisl. dioc.,par. eccl. Omniusanctorum,,"284, 29",
Almkerk,Almkerc,Traiect. dioc.,par. eccl.,,372,
Alsleben,,,,,,Groß-Alsleben
Altaich (Altach),,,,,,Ober- resp. Nieder-Altaich
Altdamm,? Damnis,Camin. dioc.,par. eccl. s. Nicolai,,147,
Altdorf,,Argent. dioc.,mon. o. s. B.,monach.,220,
Altdorf,Altdorff al. Engenpach,Ratisp. dioc.,par. eccl.,,91,
Altenburg,Aldenburg,Nuemb. dioc.,eccl. b. Marie Virg. in castro,,46,
Altenburg,Aldenburg,Nuemb. dioc.,eccl. b. Marie Virg. in castro,prepos.,112,
Altenburg,Aldenburg,Nuemb. dioc.,capel. s. Georgii in castro,,46,
Altenmünster,de Hayaualteri al. d. Altomonasterio,Const. dioc.,par. eccl.,,327,
Altenromhilt,,,,,,Römhild
Altstetten,Altsteten,Const. dioc.,eccl. filialis,,140,
Alvensleben,Aluenzleue,Halberst. dioc.,capel.,,143,
Alzei,"Alzeya, Altzeia",Magunt. dioc.,dom. s. Antonii o. s. A.,preceptor,"228, 308",
St. Amarin,de Sanctoameri(a)n,Basil. dioc.,eccl. s. Amerini,prepos.,"73, 237",
St. Amarin,de Sanctoameri(a)n,Basil. dioc.,eccl. s. Amerini,can.,73,
St. Amarin,de Sanctoameri(a)n,Basil. dioc.,eccl. s. Amerini,capit.,237,
Amatia,,,,advocatus,61,
Amberg,Amberga,Ratisp. dioc.,,vicedominus,205,
Amersfoort,Amersforden.,Traiect. dioc.,eccl. s. Georgii,can.,"159, 162, 224",
Amoeneburg,Ameneburg,Magunt. dioc.,eccl.,scolast.,163,
Amoeneburg,Ameneburg,Magunt. dioc.,eccl.,can.,163,
Amsterdam,Aemsterdam,Traiect. dioc.,par. eccl. 62 373. Nieuwe-Zijdskapel (Heiligestede),,373,
Anania,,,,,,Nonsberg
Anasum,,,,,,Enns
Andegauien.,,,,,,Angers
Andelac.,,,,,,Andlau
Andenoys,,,,,,Adensen
Andernach,Andernacen.,Trev. dioc.,capel. s. Michaelis,,227,
Andgardaw,,,,,,Stams
Andlau,"Andello, Andelacen., Vallis-andelache",Argent. dioc.,mon. nullius ord.,monialis,272,
Andlau,"Andello, Andelacen., Vallis-andelache",Argent. dioc.,mon. nullius ord.,alt. in eccl.,43,
Angarien.,,,,,,Enger
Angelsdorf,Angelstorp,Colon. dioc.,par. eccl.,,319,
Angers,Andegavien.,,,dioc.,314,
Anglia,,,,,,England
St. Anne,,? Msn. dioc.,capel. s. Anne hosp. paup.,,245,
Ansbach,"Onelspach, Onalspacen.",Her-bipol. dioc.,eccl. s. Gumperti,,297,
Ansbach,"Onelspach, Onalspacen.",Her-bipol. dioc.,eccl. s. Gumperti,decan.,87,
Ansbach,"Onelspach, Onalspacen.",Her-bipol. dioc.,eccl. s. Gumperti,can.,"87, 92, 120, 165, 181, 311, 334, 346, 349, 400",
Ansbach,"Onelspach, Onalspacen.",Her-bipol. dioc.,eccl. s. Gumperti,vic.,223,
Ansperg,"Onsperg, Omsberg, Homsber, Musberg",Bamberg. dioc.,capel. s. Viti,,"123, 334",
Antiochien,Antiochia,,,patr.,30,
Antiqua Vlissinghen,,,,,,Vlissinghen
Aosta,Augusten.,,,ep.,"49, 147, 242, 330, 361, 366",
Appenheim,,Magunt. dioc.,par. eccl.,,317,
Appenzell,Appenceller,,,rustici,330,
Aquen.,,,,,,"Aachen, Aix"
Aquileja,Aquilegien.,,,patr.,"12, 24, 125, 170, 287, 321, 352",
Aquileja,Aquilegien.,,eccl.,can.,"279, 287",
Aquileja,Aquilegien.,,eccl.,capit.,"278, 321, 352",
Aquileja,Aquilegien.,,eccl.,benef.,279,
Aquileja,Aquilegien.,,,presb.,"125, 278, 284, 321, 340",
Aquileja,Aquilegien.,,,cler.,"110, 192, 375",
Aquileja,Aquilegien.,,,scolar.,236,
Aquileja,Aquilegien.,,,armig.,"128, 176",
Aquileja,Aquilegien.,,,mil.,"42, 50, 107, 110, 167",
Aquileja,Aquilegien.,,,laici,125,
Aquileja,Aquilegien.,,,castella,12,
Aquisgran.,,,,,,Aachen
Aragon,,,,rex,334,
Arberg,,Eystet. dioc.,par. eccl.,,96,
Ardagger,Ardeac.,Patav. dioc.,eccl. s. Margarete,prepos.,170,
Ardagger,Ardeac.,Patav. dioc.,eccl. s. Margarete,can.,321,
Aresdorf,,,,,,Arsdorf
Arezzo,Aretin.,,,ep.,113,
Arezzo,Aretin.,,,civit.,13,
Argentin.,,,,,,Strassburg
Arheiligen,Arheilgen,Magunt. dioc.,capel. b. Marie Virg.,,54,
Arien,,,,ep.,90,
Arimin.,,,,,,Rimini
Armuth,Armud,Magunt. dioc.,capel. s. Catherine,,192,
Arnheim,Arnhemen.,Traiect. dioc.,eccl. s. Walburgis,prepos.,6,
Arnheim,Arnhemen.,Traiect. dioc.,eccl. s. Walburgis,decan.,"100, 258",
Arnheim,Arnhemen.,Traiect. dioc.,eccl. s. Walburgis,can.,"215, 225, 313, 347",
Arni,,Const. dioc.,par. eccl. s. Johannis bapt.,,186,
Arnoldshof,,,,,,Rottweil
Arnoldstein,Arnoldstain,Aquil. dioc.,mon. o. s. B.,,192,
St. Arnual,de Sanctoarnuale,Meten. dioc.,eccl. s. Arnualis,can.,314,
Arsdorf,Aresdorf,Trev. dioc.,par. eccl.,,46,
Arth,Art,Const. dioc.,par. eccl.,,360,
Asbach,Aspach,Patav. dioc.,par. eccl.,,"213, 284",
Aschaffenburg,Aschaffinburg,Magunt. dioc.,eccl. ss. Petri et Alexandri,prepos.,88,
Aschaffenburg,Aschaffinburg,Magunt. dioc.,eccl. ss. Petri et Alexandri,can.,"28, 90, 114, 158, 195, 309, 310",
Aschaffenburg,Aschaffinburg,Magunt. dioc.,eccl. ss. Petri et Alexandri,capit.,88,
Aschaffenburg,Aschaffinburg,Magunt. dioc.,par. eccl. s. Agathe e. m.,,158,
Aschendorf,Asschendorpe,Osnab. dioc.,par. eccl.,,64,
Aschersleben,"Asschersleiben, Aschersleue",Halberst. dioc.,capel. s. Nicolai in castro,,"120, 130, 387",
Asselburg,,,,,,Hasselburg
Assinden.,,,,,,Essen
Assisi,Assisinat.,,mon. s. Petri o. s. B.,abb.,288,
Athesis,,,,,,Etsch
Athyra,Naturen.,,,ep.,110,
Attendorn,,Colon. dioc.,par. eccl.,,355,
Attenheim,Atensheim,Patav. dioc.,capel. hosp. paup.,,324,
Attenhofen,Attelkouen,Ratisp. dioc.,par. eccl.,,367,
Attersdorf,,,,,,Ottersdorf
Atting,Ating,Ratisp. dioc.,par. eccl.,,27,
Au,Ow,Const. dioc.,eccl. s. Georgii,can.,186,
Au,Aw,Frising. dioc.,eccl. filialis,,7,
Au,,,,,,St. Maria in Au
Aub,"Augea, Auwe",Herbipol. dioc.,eccl. s. Marie o. s. A.,prepos.,281,
Aub,"Augea, Auwe",Herbipol. dioc.,mon. o. s. B.,,59,
Audorf,"Ousdorff, Oustorff",Salzb. dioc.,par. eccl.,,"129, 292",
Aue,? Oue,Traiect. dioc.,par. eccl.,,130,
Auerbach,Awrbach,Patav. dioc.,par. eccl.,,"187, 206",
Augea,,,,,,Aub
Augia,,,,,,Breisach
Augia maior,,,,,,Reichenau
Augsburg,Augusten.,,,ep. (el.),"7, 51, 52, 75, 76, 84, 88, 115, 125, 184, 199, 212, 213, 219, 298",
Augsburg,Augusten.,,,vic. episc.,"125, 184, 212",
Augsburg,Augusten.,,,mensa episc.,52,
Augsburg,Augusten.,,eccl.,prepos.,392,
Augsburg,Augusten.,,eccl.,decan.,135,
Augsburg,Augusten.,,eccl.,custod.,"51, 219",
Augsburg,Augusten.,,eccl.,dign.,311,
Augsburg,Augusten.,,eccl.,can.,"52, 88, 93, 96, 121, 135, 207, 212, 219, 311, 359, 376, 392",
Augsburg,Augusten.,,eccl.,capit.,"51, 199, 212",
Augsburg,Augusten.,,eccl.,alt.,212,
Augsburg,Augusten.,,eccl. s. Mauritii,,58,
Augsburg,Augusten.,,eccl. s. Mauritii,prepos.,392,
Augsburg,Augusten.,,eccl. s. Mauritii,decan.,"88, 125, 155, 183, 298",
Augsburg,Augusten.,,eccl. s. Mauritii,can.,"75, 88, 155, 207, 212, 268, 269, 392",
Augsburg,Augusten.,,eccl. s. Mauritii,capit.,155,
Augsburg,Augusten.,,capel. s. Gertrudis,,392,
Augsburg,Augusten.,,capel. s. Ottilie,,58,
Augsburg,Augusten.,,capel. s. Sepulcri,,359,
Augsburg,Augusten.,,mon. ss. Vlrici et Afre o. s. B.,abb.,58,
Augsburg,Augusten.,,mon. s. Vrsi e. m.,,58,
Augsburg,Augusten.,,,presb.,"84, 125, 155, 162, 184, 199, 298, 354, 360, 387",
Augsburg,Augusten.,,,cler.,"51, 62, 73, 84, 149, 189, 210, 219, 268, 269, 298, 303, 387",
Augsburg,Augusten.,,,subcollect.,"155, 212",
Augsburg,Augusten.,,,offic.,88,
Augsburg,Augusten.,,,armig.,298,
Augsburg,Augusten.,,,opid.,268,
Augsburg,Augusten.,,,laici,"51, 75, 362",
Augusten.,,,,,,"Aosta, Augsburg"
Aulon,,,,,,Aalen
Austria,,,,,,Österreich
Autun,Eduen.,,,dioc.,180,
Auwe,,,,,,Aub
Aueld,,,,,,Alfeld
St. Avold,de Sanctonabore,Meten. dioc.,mon. s. Naboris o. s. B.,abb. e. conv.,42,
Aw,,,,,,Au
Awgia,,,,,,Gries
Awrbach,,,,,,Auerbach
Aych,,,,,,Aich
Aycurien.,,,,,,Incourt
Azmannsdorf,Aczmanstorff,Magunt. dioc.,par. eccl.,,247,
Azum,Adlefsen,Halberst. dioc.,,archidiacon.,97,
Babenhausen,Babinhusen,Magunt. dioc.,par. eccl.,,368,
Babylonien,Babilonia,,,soldanus,305,
Baden,,Const. dioc.,hosp. paup.,,59,
Baden,,Const. dioc.,,marchio,"45, 64, 167, 223, 285, 333",
Badenheim,,Magunt. dioc.,par. eccl.,,116,
Baiocen.,,,,,,Bayeux
Balsamgau,Balsamia,Halberst. dioc.,,archidiacon.,105,
Bamberg,,,,ep.,"39, 61, 92, 93, 111, 123, 126, 151, 15, 189, 235, 241, 264",
Bamberg,,,,capellani episc.,123,
Bamberg,,,eccl.,decan.,273,
Bamberg,,,eccl.,can.,"39, 109, 12, 122, 123, 163, 165, 273, 302",
Bamberg,,,eccl.,capit.,"39, 92, 112, 151, 241, 273",
Bamberg,,,eccl.,vic.,"12, 127",
Bamberg,,,eccl.,alt.,"146, 151, 177",
Bamberg,,,eccl. s. Jacobi e. m.,prepos.,123,
Bamberg,,,eccl. s. Jacobi e. m.,decan.,123,
Bamberg,,,eccl. s. Jacobi e. m.,can.,"39, 96",
Bamberg,,,eccl. s. Jacobi e. m.,capit.,"12, 235",
Bamberg,,,eccl. s. Stephani e. m.,,61,
Bamberg,,,eccl. s. Stephani e. m.,prepos.,"61, 105, 123, 241",
Bamberg,,,eccl. s. Stephani e. m.,decan.,"61, 158, 197",
Bamberg,,,eccl. s. Stephani e. m.,can.,"39, 97, 105, 119, 159, 165, 374",
Bamberg,,,eccl. s. Stephani e. m.,capit.,"61, 241",
Bamberg,,,"eccl. b. Marie in Teuerstadt (Teurstat, Tew(e)rstat e. m.)",decan.,151,
Bamberg,,,"eccl. b. Marie in Teuerstadt (Teurstat, Tew(e)rstat e. m.)",vicedecan.,103,
Bamberg,,,"eccl. b. Marie in Teuerstadt (Teurstat, Tew(e)rstat e. m.)",can.,"39, 103, 111, 215",
Bamberg,,,"eccl. b. Marie in Teuerstadt (Teurstat, Tew(e)rstat e. m.)",capit.,103,
Bamberg,,,capel. s. Andree,,311,
Bamberg,,,mon. s. Clare ord. s. Clare,,61,
